Län,avg temperature 61-90,avg temperature 91-2020,71-2000,81-2010,Average temp,average vegetation period 61-90,71-2000,81-2010,90-2020,Average vegetation days,61-90,71-2000,81-2010,91-2020,Rain,cluster,char
Skåne län,7.5,8.6,7.8,8.1,8,214.1,217,221,228,219.8,659.9,671.3,701.1,702.2,683.6,1,"warm, medium humid"
Blekinge län,7.2,8.3,7.5,7.8,7.7,208,210,214,223,213.9,608.5,624.1,650.8,645.4,632.2,1,"warm, medium humid"
Hallands län,6.8,7.9,7.2,7.4,7.3,205.5,208,211,218,210.5,917.7,955.8,1015.1,1029.9,979.6,2,"warm, very humid"
Västra Götalands län,6.3,7.5,6.7,7,6.9,198.6,200,204,210,203.2,753.1,779.5,829.8,855.2,804.4,3,"warm, humid"
Kronobergs län,6,7.1,6.4,6.6,6.5,194.2,195,199,205,198.4,719.4,744.3,784.9,781.2,757.4,3,"warm, humid"
Jönköpings län,5.6,6.7,5.9,6.2,6.1,188.7,189,193,199,192.6,694.3,712.5,748.7,752.9,727.1,3,"warm, humid"
Gotlands län,6.8,7.9,7.1,7.4,7.3,198.2,200,205,213,204.3,521.3,534.2,547.8,535.2,534.6,4,"warm, very dry"
Kalmar län,6.6,7.7,6.9,7.2,7.1,199.4,200,204,212,203.8,532.5,539.4,568.2,570.6,552.7,4,"warm, very dry"
Östergötlands län,6,7.2,6.4,6.7,6.6,193.2,193,197,204,196.9,557.1,566.5,592.7,600.6,579.2,5,"moderate warm, dry"
Stockholms län,5.9,7.1,6.3,6.6,6.5,188.5,190,194,200,193.3,541.1,549.2,559,561.2,552.6,5,"moderate warm, dry"
Södermanlands län,5.8,7,6.2,6.5,6.3,189.6,190,194,200,193.3,558.9,577.7,591.6,587.1,578.8,5,"moderate warm, dry"
Västmanlands län,5.3,6.5,5.7,6,5.9,184.7,185,189,193,187.8,603,615.9,632,627.9,619.7,5,"moderate warm, dry"
Uppsala län,5.2,6.5,5.7,6,5.8,182.7,183,188,193,186.7,575.9,585.8,600.1,584.1,586.5,5,"moderate warm, dry"
Örebro län,5,6.2,5.4,5.7,5.6,182.2,182,186,192,185.5,691.4,713.5,736.2,734.8,719,6,"moderate cold, humid"
Värmlands län,4.6,5.8,5,5.3,5.2,179.8,180,183,187,182.6,716.8,726.6,759.7,764.1,741.8,6,"moderate cold, humid"
Gävleborgs län,3.9,5,4.3,4.5,4.4,169.4,169,174,176,172.1,608.7,620.7,637.9,622.7,622.5,7,"cold, moderate humid"
Västernorrland län,2.9,4.1,3.2,3.5,3.4,160.3,160,164,166,162.7,589.2,613.8,637.2,638.6,619.7,7,"cold, moderate humid"
Dalarnas län,2.9,4,3.2,3.5,3.4,159.7,159,164,166,162.3,661.3,673.3,703.3,695,683.2,7,"cold, moderate humid"
Jämtlands län,1.1,2.2,1.4,1.7,1.6,139.1,138,142,144,140.9,631.4,661.1,678.6,678.9,662.5,8,"very cold, moderate humid"
Västerbottens län,0.8,2,1.1,1.4,1.3,138.4,138,143,145,141.1,604.2,638.1,658.5,662.1,640.7,8,"very cold, moderate humid"
Norrbottens län,-0.7,0.5,-0.4,0,-0.2,127.1,127,131,134,130,518.9,547.3,568.1,592.2,556.6,9,"super cold, super dry"